Geography,Amount,Quarter
Canada,"36,712,658",Q4 2017
Canada,"36,786,021",Q1 2018
Canada,"36,890,169",Q2 2018
Canada,"37,058,856",Q3 2018
Canada,"37,242,571",Q4 2018
Newfoundland and Labrador,"528,463",Q4 2017
Newfoundland and Labrador,"527,609",Q1 2018
Newfoundland and Labrador,"526,462",Q2 2018
Newfoundland and Labrador,"525,355",Q3 2018
Newfoundland and Labrador,"525,073",Q4 2018
Prince Edward Island,"151,477",Q4 2017
Prince Edward Island,"151,535",Q1 2018
Prince Edward Island,"152,009",Q2 2018
Prince Edward Island,"153,244",Q3 2018
Prince Edward Island,"154,750",Q4 2018
Nova Scotia,"954,374",Q4 2017
Nova Scotia,"954,611",Q1 2018
Nova Scotia,"955,708",Q2 2018
Nova Scotia,"959,942",Q3 2018
Nova Scotia,"964,693",Q4 2018
New Brunswick,"768,212",Q4 2017
New Brunswick,"768,229",Q1 2018
New Brunswick,"768,865",Q2 2018
New Brunswick,"770,633",Q3 2018
New Brunswick,"772,238",Q4 2018
Quebec,"8,329,664",Q4 2017
Quebec,"8,341,475",Q1 2018
Quebec,"8,356,699",Q2 2018
Quebec,"8,390,499",Q3 2018
Quebec,"8,421,698",Q4 2018
Ontario,"14,153,806",Q4 2017
Ontario,"14,190,680",Q1 2018
Ontario,"14,246,035",Q2 2018
Ontario,"14,322,757",Q3 2018
Ontario,"14,411,424",Q4 2018
Manitoba,"1,340,776",Q4 2017
Manitoba,"1,344,385",Q1 2018
Manitoba,"1,346,851",Q2 2018
Manitoba,"1,352,154",Q3 2018
Manitoba,"1,356,836",Q4 2018
Saskatchewan,"1,155,034",Q4 2017
Saskatchewan,"1,156,964",Q1 2018
Saskatchewan,"1,158,836",Q2 2018
Saskatchewan,"1,162,062",Q3 2018
Saskatchewan,"1,165,903",Q4 2018
Alberta,"4,262,642",Q4 2017
Alberta,"4,274,054",Q1 2018
Alberta,"4,288,327",Q2 2018
Alberta,"4,307,110",Q3 2018
Alberta,"4,330,206",Q4 2018
British Columbia,"4,945,559",Q4 2017
British Columbia,"4,953,906",Q1 2018
British Columbia,"4,967,375",Q2 2018
British Columbia,"4,991,687",Q3 2018
British Columbia,"5,016,322",Q4 2018
Yukon,"39,781",Q4 2017
Yukon,"39,922",Q1 2018
Yukon,"40,087",Q2 2018
Yukon,"40,476",Q3 2018
Yukon,"40,333",Q4 2018
Northwest Territories,"45,097",Q4 2017
Northwest Territories,"44,942",Q1 2018
Northwest Territories,"45,011",Q2 2018
Northwest Territories,"44,541",Q3 2018
Northwest Territories,"44,445",Q4 2018
Nunavut ,"37,773",Q4 2017
Nunavut ,"37,709",Q1 2018
Nunavut ,"37,904",Q2 2018
Nunavut ,"38,396",Q3 2018
Nunavut ,"38,650",Q4 2018
